Chemical formula,Radius A [ang],Radius B [ang],Radius O,Tolerance factor,Lowest distortion,a [ang],b [ang],c [ang],Curie Temperature (K)
AcAgO3,1.12,0.95,1.36,0.759144943,orthorhombic,5.779,6.077,8.248,
AcAlO3,1.12,0.54,1.36,0.92296043,cubic,3.858,3.858,3.858,
AcAsO3,1.12,0.52,1.36,0.932779158,orthorhombic,5.78,6.012,8.262,
AcAuO3,1.12,0.93,1.36,0.765775029,orthorhombic,5.899,6.75,7.63,
AcBO3,1.12,0.27,1.36,1.075843446,cubic,3.693,3.693,3.693,
AcBaO3,1.12,1.35,1.36,0.647094029,orthorhombic,6.315,6.356,10.436,
AcBeO3,1.12,0.45,1.36,0.96885349,cubic,3.761,3.761,3.761,
AcBiO3,1.12,0.9,1.36,0.775940185,orthorhombic,6.09,6.415,8.796,
AcCaO3,1.12,1,1.36,0.743061363,orthorhombic,5.994,6.269,8.448,
AcCdO3,1.12,0.95,1.36,0.759144943,orthorhombic,5.84,6.199,8.338,
AcCeO3,1.12,0.94,1.36,0.762445573,cubic,4.581,4.581,4.581,
AcCoO3,1.12,0.63,1.36,0.881218501,rhombohedral,5.522,5.522,5.522,
AcCrO3,1.12,0.58,1.36,0.903930318,orthorhombic,5.594,5.639,7.925,
AcCsO3,1.12,1.67,1.36,0.578754065,tetragonal,4.179,4.179,5.702,
AcCuO3,1.12,0.68,1.36,0.859620009,orthorhombic,5.509,5.528,7.809,
AcDyO3,1.12,0.99,1.36,0.746223327,orthorhombic,5.989,6.176,8.595,
AcErO3,1.12,0.89,1.36,0.779388808,orthorhombic,5.96,6.123,8.521,
AcEuO3,1.12,1.06,1.36,0.724638354,orthorhombic,6.033,6.3,8.784,
AcFeO3,1.12,0.67,1.36,0.86385459,orthorhombic,5.63,5.655,7.97,
AcGaO3,1.12,0.62,1.36,0.8856691,orthorhombic,5.584,5.622,7.895,
AcGdO3,1.12,0.94,1.36,0.762445573,orthorhombic,6.029,6.225,8.673,
AcGeO3,1.12,0.63,1.36,0.881218501,orthorhombic,5.744,5.816,8.154,
AcHfO3,1.12,0.71,1.36,0.847161748,orthorhombic,5.773,5.94,8.324,
AcHgO3,1.12,1.11,1.36,0.709969562,orthorhombic,5.817,6.68,8.231,
AcHoO3,1.12,0.9,1.36,0.775940185,orthorhombic,5.975,6.152,8.551,
AcInO3,1.12,0.8,1.36,0.811863341,orthorhombic,5.857,6.035,8.359,
AcIrO3,1.12,0.63,1.36,0.881218501,orthorhombic,5.616,5.907,8.082,
AcKO3,1.12,1.38,1.36,0.640009057,orthorhombic,6.346,6.434,9.682,
AcLaO3,1.12,1.03,1.36,0.733734233,cubic,4.562,4.562,4.562,
AcLiO3,1.12,0.76,1.36,0.827181518,cubic,3.874,3.874,3.874,
AcLuO3,1.12,0.86,1.36,0.789921089,orthorhombic,5.905,6.047,8.429,
AcMgO3,1.12,0.72,1.36,0.843088854,rhombohedral,5.556,5.556,5.556,
AcMnO3,1.12,0.62,1.36,0.8856691,orthorhombic,5.612,5.655,7.948,
AcMoO3,1.12,0.62,1.36,0.8856691,orthorhombic,5.684,5.914,8.143,
AcNaO3,1.12,1.02,1.36,0.73681715,cubic,4.09,4.09,4.09,
AcNbO3,1.12,0.68,1.36,0.859620009,orthorhombic,5.717,5.966,8.201,
AcNdO3,1.12,0.98,1.36,0.749412315,cubic,4.503,4.503,4.503,
AcNiO3,1.12,0.59,1.36,0.899294778,orthorhombic,5.505,5.522,7.786,
AcNpO3,1.12,0.86,1.36,0.789921089,cubic,4.497,4.497,4.497,
AcOsO3,1.12,0.57,1.36,0.908613895,orthorhombic,5.463,6.091,7.989,
AcPaO3,1.12,0.91,1.36,0.772521946,cubic,4.524,4.524,4.524,
AcPbO3,1.12,0.99,1.36,0.746223327,orthorhombic,6.034,6.377,8.701,
AcPdO3,1.12,0.75,1.36,0.831101809,orthorhombic,5.715,5.924,8.081,
AcPmO3,1.12,0.97,1.36,0.752628677,cubic,4.466,4.466,4.466,
AcPrO3,1.12,0.92,1.36,0.769133692,cubic,4.539,4.539,4.539,
AcPtO3,1.12,0.67,1.36,0.86385459,orthorhombic,5.811,6.177,7.805,
AcPuO3,1.12,0.83,1.36,0.800741926,cubic,4.441,4.441,4.441,
AcRbO3,1.12,1.52,1.36,0.608897506,orthorhombic,5.98,6.089,11.491,
AcReO3,1.12,0.57,1.36,0.908613895,orthorhombic,5.556,5.978,8.046,
AcRhO3,1.12,0.61,1.36,0.890164882,orthorhombic,5.635,5.837,8.046,
AcRuO3,1.12,0.62,1.36,0.8856691,orthorhombic,5.619,5.835,8.029,
AcSbO3,1.12,0.68,1.36,0.859620009,orthorhombic,5.98,6.327,8.621,
AcScO3,1.12,0.75,1.36,0.831101809,orthorhombic,5.782,5.844,8.201,
AcSiO3,1.12,0.4,1.36,0.996377737,tetragonal,3.79,3.79,4.442,
AcSmO3,1.12,0.96,1.36,0.755872766,orthorhombic,6.08,6.293,8.759,
AcSnO3,1.12,0.69,1.36,0.85542674,orthorhombic,5.942,6.208,8.551,
AcSrO3,1.12,1.18,1.36,0.690403471,cubic,4.447,4.447,4.447,
AcTaO3,1.12,0.68,1.36,0.859620009,orthorhombic,5.615,5.983,8.195,
AcTbO3,1.12,0.84,1.36,0.79710219,orthorhombic,6.009,6.201,8.63,
AcTcO3,1.12,0.6,1.36,0.894706539,orthorhombic,5.652,5.84,8.095,
AcTeO3,1.12,0.77,1.36,0.823298036,cubic,4.346,4.346,4.346,
AcThO3,1.12,0.94,1.36,0.762445573,cubic,4.6,4.6,4.6,
AcTiO3,1.12,0.71,1.36,0.847161748,orthorhombic,5.647,5.662,8.007,
AcTlO3,1.12,1.2,1.36,0.685009694,orthorhombic,5.937,6.296,8.547,
AcTmO3,1.12,0.96,1.36,0.755872766,orthorhombic,5.94,6.089,8.494,
AcUO3,1.12,0.85,1.36,0.793495392,cubic,4.466,4.466,4.466,
AcVO3,1.12,0.64,1.36,0.876812409,orthorhombic,5.664,5.684,7.997,
AcWO3,1.12,0.63,1.36,0.881218501,orthorhombic,5.669,5.86,8.07,
AcYO3,1.12,0.9,1.36,0.775940185,orthorhombic,5.993,6.183,8.603,
AcYbO3,1.12,0.95,1.36,0.759144943,orthorhombic,5.937,6.214,8.429,
AcZnO3,1.12,0.74,1.36,0.835059437,orthorhombic,5.587,5.662,7.928,
AcZrO3,1.12,0.72,1.36,0.843088854,orthorhombic,5.84,6.057,8.34,
AgAcO3,1.28,1.12,1.36,0.752726574,orthorhombic,6.008,6.225,8.526,
AgAlO3,1.28,0.54,1.36,0.982506264,orthorhombic,5.094,5.323,7.3,
AgAsO3,1.28,0.46,1.36,1.025693353,tetragonal,3.571,3.571,4.458,
AgAuO3,1.28,0.93,1.36,0.81517987,cubic,4.046,4.046,4.046,
AgBO3,0.75,0.27,1.36,0.915334545,cubic,3.439,3.439,3.439,
AgBaO3,1.28,1.35,1.36,0.68884203,orthorhombic,6.636,6.739,6.99,
AgBeO3,1.28,0.45,1.36,1.031360167,cubic,3.528,3.528,3.528,
AgBiO3,1.28,0.76,1.36,0.880548067,rhombohedral,5.765,5.765,5.765,
AgCaO3,1.28,1,1.36,0.791000806,rhombohedral,5.884,5.884,5.884,
AgCdO3,1.28,0.95,1.36,0.808122036,cubic,4.126,4.126,4.126,
AgCeO3,1.28,0.94,1.36,0.81163561,orthorhombic,5.962,6.115,8.3,
AgCoO3,1.28,0.63,1.36,0.938071308,orthorhombic,5.208,5.302,7.348,
AgCrO3,1.28,0.49,1.36,1.009060488,orthorhombic,5.357,5.401,7.29,
AgCsO3,1.28,1.67,1.36,0.616093037,cubic,4.362,4.362,4.362,
AgCuO3,1.28,0.68,1.36,0.915079364,orthorhombic,5.066,5.322,7.583,
AgDyO3,1.28,0.99,1.36,0.794366767,cubic,4.329,4.329,4.329,
AgErO3,1.28,0.89,1.36,0.829671957,cubic,4.303,4.303,4.303,
AgEuO3,1.28,1.06,1.36,0.771389216,orthorhombic,5.684,5.956,8.268,
AgFeO3,1.28,0.67,1.36,0.919587144,orthorhombic,5.451,5.474,7.225,
AgGaO3,1.28,0.62,1.36,0.942809042,orthorhombic,5.13,5.419,7.628,
AgGdO3,1.28,0.94,1.36,0.81163561,cubic,4.373,4.373,4.373,
AgGeO3,1.28,0.63,1.36,0.938071308,orthorhombic,5.325,5.343,7.31,
AgHfO3,1.28,0.71,1.36,0.901817344,orthorhombic,5.376,5.735,7.951,
AgHgO3,1.28,1.11,1.36,0.75577405,cubic,4.156,4.156,4.156,
AgHoO3,1.28,0.9,1.36,0.826000842,cubic,4.308,4.308,4.308,
AgInO3,1.28,0.8,1.36,0.864241621,cubic,4.141,4.141,4.141,
AgIrO3,1.28,0.57,1.36,0.967234146,rhombohedral,5.367,5.367,5.367,
AgKO3,1.28,1.38,1.36,0.681299964,cubic,4.327,4.327,4.327,
AgLaO3,1.28,1.03,1.36,0.781071926,orthorhombic,5.835,6.067,8.48,
AgLiO3,1.28,0.76,1.36,0.880548067,cubic,3.635,3.635,3.635,
AgLuO3,1.28,0.86,1.36,0.84088374,cubic,4.252,4.252,4.252,
AgMgO3,1.28,0.72,1.36,0.897481684,cubic,3.865,3.865,3.865,
AgMnO3,1.28,0.62,1.36,0.942809042,orthorhombic,5.328,5.333,7.356,
AgMoO3,1.28,0.61,1.36,0.947594874,cubic,3.911,3.911,3.911,
AgNaO3,1.28,1.02,1.36,0.78435374,cubic,4.03,4.03,4.03,
AgNbO3,1.28,0.64,1.36,0.933380951,rhombohedral,5.611,5.611,5.611,553
AgNdO3,1.28,0.98,1.36,0.797761497,cubic,4.453,4.453,4.453,
AgNiO3,1.28,0.59,1.36,0.957313796,orthorhombic,5.118,5.377,7.41,
AgNpO3,1.28,0.86,1.36,0.84088374,orthorhombic,5.694,6.003,8.356,
AgOsO3,1.28,0.57,1.36,0.967234146,rhombohedral,5.379,5.379,5.379,
AgPaO3,1.28,0.91,1.36,0.822362072,rhombohedral,6.043,6.043,6.043,
AgPbO3,1.28,0.99,1.36,0.794366767,orthorhombic,5.484,5.809,8.382,
AgPdO3,1.28,0.75,1.36,0.884721281,orthorhombic,5.3,5.526,7.719,
AgPmO3,1.28,0.97,1.36,0.801185366,cubic,4.426,4.426,4.426,
AgPrO3,1.28,0.92,1.36,0.81875522,orthorhombic,5.914,6.088,8.241,
AgPtO3,1.28,0.67,1.36,0.919587144,orthorhombic,5.39,5.527,7.702,
AgPuO3,1.28,0.83,1.36,0.852402695,orthorhombic,5.67,5.99,8.343,
AgRbO3,1.28,1.52,1.36,0.648181216,cubic,4.318,4.318,4.318,
AgReO3,1.28,0.58,1.36,0.962248403,cubic,3.889,3.889,3.889,
AgRhO3,1.28,0.61,1.36,0.947594874,orthorhombic,5.357,5.411,7.617,
AgRuO3,1.28,0.57,1.36,0.967234146,rhombohedral,5.375,5.375,5.375,
AgSbO3,1.28,0.6,1.36,0.952429542,orthorhombic,5.539,5.591,7.848,
AgScO3,1.28,0.75,1.36,0.884721281,orthorhombic,5.276,5.635,7.918,
AgSiO3,1.28,0.4,1.36,1.060660172,tetragonal,3.32,3.32,4.638,
AgSmO3,1.28,0.96,1.36,0.804638751,cubic,4.439,4.439,4.439,
AgSnO3,1.28,0.69,1.36,0.910615562,orthorhombic,5.392,5.661,8.03,
AgSrO3,1.28,1.18,1.36,0.734945631,orthorhombic,6.337,6.414,7.024,
AgTaO3,1.28,0.64,1.36,0.933380951,rhombohedral,5.584,5.584,5.584,
AgTbO3,1.28,0.84,1.36,0.848528137,cubic,4.351,4.351,4.351,
AgTcO3,1.28,0.6,1.36,0.952429542,rhombohedral,5.442,5.442,5.442,
AgTeO3,1.28,0.77,1.36,0.876414039,orthorhombic,5.62,5.719,8.01,
AgThO3,1.28,0.94,1.36,0.81163561,cubic,4.479,4.479,4.479,
AgTiO3,1.28,0.71,1.36,0.901817344,orthorhombic,5.41,5.418,7.512,
AgTlO3,1.28,1.2,1.36,0.729203868,cubic,4.214,4.214,4.214,
AgTmO3,1.28,0.96,1.36,0.804638751,cubic,4.281,4.281,4.281,
AgUO3,1.28,0.76,1.36,0.880548067,rhombohedral,6.032,6.032,6.032,
AgVO3,1.28,0.54,1.36,0.982506264,tetragonal,3.684,3.684,4.208,
AgWO3,1.28,0.62,1.36,0.942809042,cubic,3.917,3.917,3.917,
AgYO3,1.28,0.9,1.36,0.826000842,cubic,4.362,4.362,4.362,
AgYbO3,1.28,0.95,1.36,0.808122036,orthorhombic,5.8,5.981,7.285,
AgZnO3,1.28,0.74,1.36,0.888934239,cubic,3.854,3.854,3.854,
AgZrO3,1.28,0.72,1.36,0.897481684,orthorhombic,5.398,5.783,8.052,
AlAcO3,0.54,1.12,1.36,0.541735034,orthorhombic,5.553,5.62,9.501,
AlAgO3,0.54,0.75,1.36,0.636731225,orthorhombic,4.913,5.222,8.588,
AlAsO3,0.54,0.58,1.36,0.69252726,cubic,3.814,3.814,3.814,
AlAuO3,0.54,0.93,1.36,0.586682482,cubic,4.025,4.025,4.025,
AlBO3,0.54,0.27,1.36,0.824234898,cubic,3.283,3.283,3.283,
AlBaO3,0.54,1.35,1.36,0.495757522,orthorhombic,5.405,6.293,9.019,
AlBeO3,0.54,0.45,1.36,0.742266787,cubic,3.365,3.365,3.365,
AlBiO3,0.54,0.9,1.36,0.594470303,orthorhombic,5.494,5.499,8.657,
AlCaO3,0.54,1,1.36,0.569280883,orthorhombic,5.18,5.611,8.364,
AlCdO3,0.54,0.95,1.36,0.58160298,orthorhombic,5.236,5.506,8.124,
AlCeO3,0.54,1.01,1.36,0.566878854,orthorhombic,5.557,5.574,8.786,
AlCoO3,0.54,0.61,1.36,0.68198116,cubic,3.604,3.604,3.604,
AlCrO3,0.54,0.62,1.36,0.67853681,cubic,3.745,3.745,3.745,
AlCsO3,0.54,1.67,1.36,0.443400292,cubic,4.426,4.426,4.426,
AlCuO3,0.54,0.54,1.36,0.707106781,cubic,3.641,3.641,3.641,
AlDyO3,0.54,0.91,1.36,0.591851491,rhombohedral,5.993,5.993,5.993,
AlErO3,0.54,0.89,1.36,0.597112393,orthorhombic,5.328,5.337,8.281,
AlEuO3,0.54,0.95,1.36,0.58160298,orthorhombic,5.134,5.797,8.578,
AlFeO3,0.54,0.65,1.36,0.668409395,cubic,3.744,3.744,3.744,
AlGaO3,0.54,0.62,1.36,0.67853681,cubic,3.74,3.74,3.74,
AlGdO3,0.54,0.94,1.36,0.584131689,rhombohedral,6.086,6.086,6.086,
AlGeO3,0.54,0.63,1.36,0.675127078,cubic,3.71,3.71,3.71,
AlHfO3,0.54,0.71,1.36,0.64903521,cubic,4.056,4.056,4.056,
AlHgO3,0.54,1.11,1.36,0.543928293,orthorhombic,5.19,5.432,8.588,
AlHoO3,0.54,0.9,1.36,0.594470303,rhombohedral,5.966,5.966,5.966,
AlInO3,0.54,0.8,1.36,0.621992076,orthorhombic,5.22,5.226,8.141,
AlIrO3,0.54,0.68,1.36,0.658579845,cubic,3.901,3.901,3.901,
AlKO3,0.54,1.38,1.36,0.49032952,orthorhombic,5.624,6.743,7.464,
AlLaO3,0.54,1.03,1.36,0.562135098,orthorhombic,5.461,5.529,9.137,
AlLiO3,0.54,0.76,1.36,0.633727776,cubic,3.45,3.45,3.45,
AlLuO3,0.54,0.86,1.36,0.605181479,rhombohedral,5.786,5.786,5.786,
AlMgO3,0.54,0.72,1.36,0.645914848,cubic,3.732,3.732,3.732,
AlMnO3,0.54,0.65,1.36,0.668409395,cubic,3.735,3.735,3.735,
AlMoO3,0.54,0.69,1.36,0.655367261,cubic,3.935,3.935,3.935,
AlNaO3,0.54,1.02,1.36,0.56449701,orthorhombic,5.461,5.978,7.002,
AlNbO3,0.54,0.72,1.36,0.645914848,cubic,4.021,4.021,4.021,
AlNdO3,0.54,0.98,1.36,0.574146532,orthorhombic,5.495,5.509,8.66,
AlNiO3,0.54,0.6,1.36,0.685460655,cubic,3.613,3.613,3.613,
AlNpO3,0.54,0.86,1.36,0.605181479,orthorhombic,5.448,5.46,9.082,
AlOsO3,0.54,0.57,1.36,0.696115484,cubic,3.896,3.896,3.896,
AlPaO3,0.54,0.91,1.36,0.591851491,cubic,4.385,4.385,4.385,
AlPbO3,0.54,0.99,1.36,0.571703355,orthorhombic,5.467,5.475,8.47,
AlPdO3,0.54,0.76,1.36,0.633727776,cubic,3.897,3.897,3.897,
AlPmO3,0.54,0.97,1.36,0.57661068,orthorhombic,5.469,5.484,8.587,
AlPrO3,0.54,0.99,1.36,0.571703355,orthorhombic,5.529,5.537,8.72,
AlPtO3,0.54,0.67,1.36,0.661824081,cubic,3.945,3.945,3.945,
AlPuO3,0.54,0.83,1.36,0.613471637,orthorhombic,5.412,5.435,9.086,
AlRbO3,0.54,1.52,1.36,0.466494057,cubic,4.296,4.296,4.296,
AlReO3,0.54,0.63,1.36,0.675127078,cubic,3.912,3.912,3.912,
AlRhO3,0.54,0.67,1.36,0.661824081,cubic,3.872,3.872,3.872,
AlRuO3,0.54,0.68,1.36,0.658579845,cubic,3.87,3.87,3.87,
AlSbO3,0.54,0.76,1.36,0.633727776,cubic,4.019,4.019,4.019,
AlScO3,0.54,0.75,1.36,0.636731225,cubic,3.974,3.974,3.974,
AlSiO3,0.54,0.4,1.36,0.763353912,cubic,3.53,3.53,3.53,
AlSmO3,0.54,0.96,1.36,0.579096071,orthorhombic,5.45,5.462,8.551,
AlSnO3,0.54,0.69,1.36,0.655367261,cubic,4.006,4.006,4.006,
AlSrO3,0.54,1.18,1.36,0.528938143,orthorhombic,5.259,5.926,8.791,
AlTaO3,0.54,0.72,1.36,0.645914848,cubic,4.002,4.002,4.002,
AlTbO3,0.54,0.92,1.36,0.589255651,rhombohedral,6.025,6.025,6.025,
AlTcO3,0.54,0.6,1.36,0.685460655,cubic,3.89,3.89,3.89,
AlTeO3,0.54,0.77,1.36,0.630752528,cubic,4.107,4.107,4.107,
AlThO3,0.54,0.94,1.36,0.584131689,cubic,4.525,4.525,4.525,
AlTiO3,0.54,0.67,1.36,0.661824081,cubic,3.841,3.841,3.841,
AlTlO3,0.54,0.89,1.36,0.597112393,orthorhombic,5.285,5.41,8.5,
AlTmO3,0.54,0.88,1.36,0.599778073,rhombohedral,5.828,5.828,5.828,
AlUO3,0.54,1.03,1.36,0.562135098,orthorhombic,5.72,5.961,8.125,
AlVO3,0.54,0.64,1.36,0.671751442,orthorhombic,5.004,5.03,7.636,
AlWO3,0.54,0.66,1.36,0.665100438,cubic,3.941,3.941,3.941,
AlYO3,0.54,0.9,1.36,0.594470303,rhombohedral,6.003,6.003,6.003,
AlYbO3,0.54,0.87,1.36,0.602467661,orthorhombic,5.119,5.58,8.294,
AlZnO3,0.54,0.74,1.36,0.639763278,cubic,3.732,3.732,3.732,
AlZrO3,0.54,0.72,1.36,0.645914848,cubic,4.115,4.115,4.115,
AsAcO3,0.52,1.12,1.36,0.53603256,orthorhombic,5.879,6.527,8.653,
AsAgO3,0.58,0.75,1.36,0.650136093,cubic,3.993,3.993,3.993,
AsAlO3,0.58,0.54,1.36,0.72199324,cubic,3.653,3.653,3.653,
AsAuO3,0.52,0.93,1.36,0.580506877,cubic,4.041,4.041,4.041,
AsBO3,0.58,0.27,1.36,0.841587212,cubic,3.377,3.377,3.377,
AsBaO3,0.52,1.35,1.36,0.490539022,orthorhombic,5.93,6.407,9.549,
AsBeO3,0.52,0.45,1.36,0.734453452,cubic,3.477,3.477,3.477,
AsBiO3,0.52,0.9,1.36,0.588212721,cubic,4.231,4.231,4.231,
AsCaO3,0.52,1,1.36,0.563288453,orthorhombic,5.449,5.93,8.52,
AsCdO3,0.52,0.95,1.36,0.575480844,cubic,4.081,4.081,4.081,
AsCeO3,0.58,0.87,1.36,0.615151191,cubic,4.505,4.505,4.505,
AsCoO3,0.58,0.61,1.36,0.696338658,cubic,3.659,3.659,3.659,
AsCrO3,0.58,0.62,1.36,0.692821796,cubic,3.792,3.792,3.792,
AsCsO3,0.52,1.67,1.36,0.43873292,cubic,4.436,4.436,4.436,
AsCuO3,0.58,0.54,1.36,0.72199324,cubic,3.702,3.702,3.702,
AsDyO3,0.58,0.91,1.36,0.604311522,cubic,4.283,4.283,4.283,
AsErO3,0.58,0.89,1.36,0.60968318,cubic,4.241,4.241,4.241,
AsEuO3,0.58,0.95,1.36,0.593847253,orthorhombic,5.528,5.937,8.683,
AsFeO3,0.58,0.65,1.36,0.682481172,cubic,3.798,3.798,3.798,
AsGaO3,0.58,0.62,1.36,0.692821796,cubic,3.782,3.782,3.782,
AsGdO3,0.58,0.94,1.36,0.596429198,cubic,4.332,4.332,4.332,
AsGeO3,0.58,0.53,1.36,0.72581331,cubic,3.757,3.757,3.757,
AsHfO3,0.58,0.71,1.36,0.662699109,cubic,4.068,4.068,4.068,
AsHgO3,0.52,1.11,1.36,0.538202732,cubic,4.145,4.145,4.145,
AsHoO3,0.58,0.9,1.36,0.606985467,cubic,4.261,4.261,4.261,
AsInO3,0.58,0.8,1.36,0.635086646,cubic,4.09,4.09,4.09,
AsIrO3,0.58,0.63,1.36,0.689340279,cubic,3.907,3.907,3.907,
AsKO3,0.52,1.38,1.36,0.485168156,orthorhombic,4.836,5.454,11.449,
AsLaO3,0.58,1.03,1.36,0.573969521,cubic,4.472,4.472,4.472,
AsLiO3,0.52,0.76,1.36,0.627056957,cubic,3.576,3.576,3.576,
AsLuO3,0.58,0.86,1.36,0.617922142,cubic,4.173,4.173,4.173,
AsMgO3,0.52,0.72,1.36,0.639115745,cubic,3.794,3.794,3.794,
AsMnO3,0.58,0.53,1.36,0.72581331,cubic,3.787,3.787,3.787,
AsMoO3,0.58,0.65,1.36,0.682481172,cubic,3.932,3.932,3.932,
AsNaO3,0.52,1.02,1.36,0.558554936,orthorhombic,5.116,5.131,9.824,
AsNbO3,0.58,0.68,1.36,0.672444684,cubic,4.013,4.013,4.013,
AsNdO3,0.58,0.98,1.36,0.586233827,cubic,4.45,4.45,4.45,
AsNiO3,0.58,0.6,1.36,0.699891406,cubic,3.675,3.675,3.675,
AsNpO3,0.52,0.86,1.36,0.598811148,cubic,4.356,4.356,4.356,
AsOsO3,0.52,0.57,1.36,0.688787953,cubic,3.901,3.901,3.901,
AsPaO3,0.52,0.91,1.36,0.585621475,cubic,4.361,4.361,4.361,
AsPbO3,0.58,0.78,1.36,0.641022035,orthorhombic,5.617,6.321,8.378,
AsPdO3,0.58,0.62,1.36,0.692821796,cubic,3.924,3.924,3.924,
AsPmO3,0.52,0.97,1.36,0.570541094,cubic,4.416,4.416,4.416,
AsPrO3,0.58,0.85,1.36,0.62071817,cubic,4.484,4.484,4.484,
AsPtO3,0.52,0.67,1.36,0.654857512,cubic,3.956,3.956,3.956,
AsPuO3,0.52,0.83,1.36,0.60701404,cubic,4.329,4.329,4.329,
AsRbO3,0.52,1.52,1.36,0.461583593,orthorhombic,4.944,5.705,11.859,
AsReO3,0.58,0.63,1.36,0.689340279,cubic,3.906,3.906,3.906,
AsRhO3,0.58,0.67,1.36,0.675757219,cubic,3.887,3.887,3.887,
AsRuO3,0.58,0.62,1.36,0.692821796,cubic,3.885,3.885,3.885,
AsSbO3,0.58,0.68,1.36,0.672444684,cubic,4.031,4.031,4.031,
AsScO3,0.58,0.75,1.36,0.650136093,cubic,3.996,3.996,3.996,
AsSiO3,0.58,0.4,1.36,0.77942452,cubic,3.585,3.585,3.585,
AsSmO3,0.58,0.96,1.36,0.591287567,cubic,4.394,4.394,4.394,
AsSnO3,0.58,0.69,1.36,0.669164466,cubic,4.021,4.021,4.021,
AsSrO3,0.52,1.18,1.36,0.523370373,rhombohedral,6.254,6.254,6.254,
AsTaO3,0.58,0.68,1.36,0.672444684,cubic,3.992,3.992,3.992,
AsTbO3,0.58,0.76,1.36,0.647069413,cubic,4.307,4.307,4.307,
AsTcO3,0.52,0.6,1.36,0.67824528,cubic,3.902,3.902,3.902,
AsTeO3,0.58,0.97,1.36,0.588749852,cubic,4.129,4.129,4.129,
AsThO3,0.58,0.94,1.36,0.596429198,cubic,4.539,4.539,4.539,
AsTiO3,0.58,0.61,1.36,0.696338658,cubic,3.865,3.865,3.865,
AsTlO3,0.58,0.89,1.36,0.60968318,cubic,4.195,4.195,4.195,
AsTmO3,0.58,0.88,1.36,0.61240498,cubic,4.213,4.213,4.213,
AsUO3,0.58,0.89,1.36,0.60968318,cubic,4.318,4.318,4.318,
AsVO3,0.58,0.58,1.36,0.707106781,cubic,3.805,3.805,3.805,
AsWO3,0.58,0.66,1.36,0.679102552,cubic,3.935,3.935,3.935,
AsYO3,0.58,0.9,1.36,0.606985467,cubic,4.289,4.289,4.289,
AsYbO3,0.58,0.87,1.36,0.615151191,orthorhombic,5.405,5.88,8.406,
AsZnO3,0.52,0.74,1.36,0.633028928,cubic,3.786,3.786,3.786,
AsZrO3,0.58,0.72,1.36,0.659513056,cubic,4.124,4.124,4.124,
AuAcO3,0.93,1.12,1.36,0.652933278,orthorhombic,6.075,6.367,8.495,
AuAgO3,0.93,0.95,1.36,0.700984645,cubic,4.018,4.018,4.018,
AuAlO3,0.93,0.54,1.36,0.852249752,cubic,3.716,3.716,3.716,
AuAsO3,0.93,0.52,1.36,0.861316239,cubic,3.803,3.803,3.803,
AuBO3,0.93,0.27,1.36,0.993419956,cubic,3.465,3.465,3.465,
AuBaO3,0.93,1.35,1.36,0.597518276,orthorhombic,6.373,6.545,8.831,
AuBeO3,0.93,0.45,1.36,0.894626812,cubic,3.534,3.534,3.534,
AuBiO3,0.93,0.9,1.36,0.716493154,cubic,4.186,4.186,4.186,
AuCaO3,0.93,1,1.36,0.686133275,cubic,4.272,4.272,4.272,
AuCdO3,0.93,0.95,1.36,0.700984645,cubic,4.115,4.115,4.115,
AuCeO3,0.93,0.94,1.36,0.704032404,cubic,4.479,4.479,4.479,
AuCoO3,0.93,0.63,1.36,0.813705793,cubic,3.756,3.756,3.756,
AuCrO3,0.93,0.58,1.36,0.834677592,cubic,3.811,3.811,3.811,
AuCsO3,0.93,1.67,1.36,0.534414036,cubic,4.367,4.367,4.367,
AuCuO3,0.93,0.68,1.36,0.793762024,cubic,3.762,3.762,3.762,
AuDyO3,0.93,0.99,1.36,0.689052991,cubic,4.326,4.326,4.326,
AuErO3,0.93,0.89,1.36,0.719677568,cubic,4.3,4.3,4.3,
AuEuO3,0.93,1.06,1.36,0.669121706,orthorhombic,5.922,6.083,8.103,
AuFeO3,0.93,0.67,1.36,0.797672182,cubic,3.809,3.809,3.809,
AuGaO3,0.93,0.62,1.36,0.817815419,cubic,3.843,3.843,3.843,
AuGdO3,0.93,0.94,1.36,0.704032404,cubic,4.367,4.367,4.367,
AuGeO3,0.93,0.63,1.36,0.813705793,cubic,3.774,3.774,3.774,
AuHfO3,0.93,0.71,1.36,0.782258227,cubic,4.091,4.091,4.091,
AuHgO3,0.93,1.11,1.36,0.655576732,cubic,4.151,4.151,4.151,
AuHoO3,0.93,0.9,1.36,0.716493154,cubic,4.316,4.316,4.316,
AuInO3,0.93,0.8,1.36,0.749664134,cubic,4.132,4.132,4.132,
AuIrO3,0.93,0.63,1.36,0.813705793,cubic,3.915,3.915,3.915,
AuKO3,0.93,1.38,1.36,0.590976105,orthorhombic,6.188,6.317,9.684,
AuLaO3,0.93,1.03,1.36,0.677520723,cubic,4.405,4.405,4.405,
AuLiO3,0.93,0.76,1.36,0.76380874,cubic,3.629,3.629,3.629,
AuLuO3,0.93,0.86,1.36,0.729402941,cubic,4.232,4.232,4.232,
AuMgO3,0.93,0.72,1.36,0.77849737,cubic,3.848,3.848,3.848,
AuMnO3,0.93,0.62,1.36,0.817815419,cubic,3.815,3.815,3.815,
AuMoO3,0.93,0.62,1.36,0.817815419,rhombohedral,5.616,5.616,5.616,
