Chemical formula,Radius A [ang],Radius B [ang],Radius O,Tolerance factor,Lowest distortion,a [ang],b [ang],c [ang],Curie Temperature (K)
EuBiO3,1.12,1.03,1.36,0.733734233,orthorhombic,5.807,6.071,8.373,
EuCaO3,1.48,1,1.36,0.85092511,cubic,4.232,4.232,4.232,
EuCdO3,1.48,0.95,1.36,0.869343402,orthorhombic,5.659,5.96,7.949,
EuCeO3,1.48,0.87,1.36,0.900530609,cubic,4.494,4.494,4.494,
EuCoO3,1.48,0.53,1.36,1.062530825,orthorhombic,5.258,5.313,7.577,
EuCrO3,1.48,0.55,1.36,1.051404847,orthorhombic,5.334,5.352,7.569,
EuCsO3,1.48,1.67,1.36,0.662766752,cubic,4.469,4.469,4.469,
EuCuO3,1.12,0.54,1.36,0.92296043,orthorhombic,5.269,5.329,7.509,
EuDyO3,1.12,0.91,1.36,0.772521946,orthorhombic,5.866,6.064,8.278,
EuErO3,1.12,0.89,1.36,0.779388808,orthorhombic,5.813,6.018,8.236,
EuFeO3,1.12,0.65,1.36,0.872450158,orthorhombic,5.324,5.363,7.551,
EuGaO3,1.12,0.62,1.36,0.8856691,rhombohedral,5.329,5.329,5.329,
EuGdO3,1.12,0.94,1.36,0.762445573,orthorhombic,5.913,6.098,8.353,
EuGeO3,1.48,0.53,1.36,1.062530825,rhombohedral,5.284,5.284,5.284,
EuHfO3,1.48,0.71,1.36,0.97013684,orthorhombic,5.623,5.727,8.01,
EuHgO3,1.48,1.11,1.36,0.813029659,orthorhombic,5.73,6.504,7.509,
EuHoO3,1.12,0.9,1.36,0.775940185,orthorhombic,5.835,6.039,8.266,
EuInO3,1.12,0.8,1.36,0.811863341,orthorhombic,5.687,5.96,7.949,
EuIrO3,1.48,0.63,1.36,1.009137316,orthorhombic,5.351,5.695,7.722,
EuKO3,1.48,1.38,1.36,0.732913598,cubic,4.234,4.234,4.234,
EuLaO3,1.12,1.03,1.36,0.733734233,orthorhombic,5.979,6.232,8.697,
EuLiO3,1.48,0.76,1.36,0.947256254,rhombohedral,5.258,5.258,5.258,
EuLuO3,1.12,0.86,1.36,0.789921089,orthorhombic,5.739,5.952,8.162,
EuMgO3,1.48,0.72,1.36,0.96547272,orthorhombic,5.219,5.845,7.792,
EuMnO3,1.48,0.53,1.36,1.062530825,rhombohedral,5.283,5.283,5.283,36
EuMoO3,1.48,0.65,1.36,0.999096149,orthorhombic,5.49,5.587,7.83,
EuNaO3,1.48,1.02,1.36,0.843774478,orthorhombic,5.995,6.293,6.374,
EuNbO3,1.48,0.68,1.36,0.984403558,orthorhombic,5.571,5.681,7.963,
EuNdO3,1.12,0.98,1.36,0.749412315,cubic,4.414,4.414,4.414,
EuNiO3,1.12,0.6,1.36,0.894706539,orthorhombic,5.28,5.287,7.537,
EuNpO3,1.48,0.86,1.36,0.904587053,orthorhombic,5.882,6.106,8.465,
EuOsO3,1.48,0.57,1.36,1.04050946,orthorhombic,5.377,5.624,7.734,
EuPaO3,1.48,0.91,1.36,0.884662228,orthorhombic,5.962,6.2,8.591,
EuPbO3,1.48,0.78,1.36,0.938403392,orthorhombic,5.726,5.984,8.227,
EuPdO3,1.48,0.62,1.36,1.014233969,orthorhombic,5.416,5.659,7.747,
EuPmO3,1.48,0.97,1.36,0.861881227,orthorhombic,5.961,6.169,8.513,
EuPrO3,1.48,0.85,1.36,0.908680207,cubic,4.451,4.451,4.451,
EuPtO3,1.48,0.67,1.36,0.989252837,orthorhombic,5.411,5.712,7.765,
EuPuO3,1.48,0.83,1.36,0.916978657,orthorhombic,5.846,6.071,8.42,
EuRbO3,1.48,1.52,1.36,0.697285854,cubic,4.28,4.28,4.28,
EuReO3,1.48,0.63,1.36,1.009137316,orthorhombic,5.458,5.58,7.778,
EuRhO3,1.48,0.6,1.36,1.024583295,orthorhombic,5.371,5.626,7.717,
EuRuO3,1.48,0.62,1.36,1.014233969,orthorhombic,5.413,5.571,7.738,
EuSbO3,1.12,0.76,1.36,0.827181518,orthorhombic,5.676,5.893,8.142,
EuScO3,1.12,0.75,1.36,0.831101809,orthorhombic,5.567,5.786,7.954,
EuSiO3,1.12,0.4,1.36,0.996377737,cubic,3.593,3.593,3.593,
EuSmO3,1.12,0.96,1.36,0.755872766,orthorhombic,5.955,6.169,8.438,
EuSnO3,1.48,0.69,1.36,0.97960159,orthorhombic,5.587,5.716,7.989,
EuSrO3,1.48,1.18,1.36,0.79062333,cubic,4.362,4.362,4.362,
EuTaO3,1.48,0.68,1.36,0.984403558,orthorhombic,5.561,5.643,7.948,
EuTbO3,1.48,0.76,1.36,0.947256254,orthorhombic,5.907,6.1,8.269,
EuTcO3,1.48,0.6,1.36,1.024583295,orthorhombic,5.446,5.552,7.754,
EuTeO3,1.48,0.97,1.36,0.861881227,orthorhombic,5.718,6.001,8.244,
EuThO3,1.48,0.94,1.36,0.873123156,orthorhombic,6.017,6.239,8.697,
EuTiO3,1.48,0.61,1.36,1.019382365,orthorhombic,5.443,5.458,7.697,
EuTlO3,1.12,0.89,1.36,0.779388808,orthorhombic,5.709,6.093,8.144,
EuTmO3,1.12,0.88,1.36,0.782868222,orthorhombic,5.803,6,8.181,
EuUO3,1.48,0.89,1.36,0.892525893,cubic,4.399,4.399,4.399,
EuVO3,1.48,0.58,1.36,1.03514601,orthorhombic,5.361,5.369,7.689,
EuWO3,1.48,0.66,1.36,0.994150128,orthorhombic,5.503,5.595,7.854,
EuYO3,1.12,0.9,1.36,0.775940185,orthorhombic,5.931,6.134,8.122,
