,Formula,eV
296,BaMnO3,0.006760221
334,BaMnO3,0.007135716
377,BaMnO3,0.010314157
195,BaMoO3,0
357,BaNdO3,0.111264467
368,BaNdO3,0.173915307
35,BaNiO3,0.147803533
188,BaNiO3,0.00037895
192,BaNiO3,0
428,BaNpO3,0
417,BaOsO3,0.085713743
427,BaPaO3,0
202,BaPbO3,0.00045867
207,BaPbO3,0.002845897
209,BaPbO3,0.026334887
212,BaPbO3,0
313,BaPbO3,1.094182339
39,BaPdO3,0.016742425
216,BaPrO3,0.106349154
262,BaPrO3,0.186233675
341,BaPrO3,0.107926284
342,BaPrO3,0.113753094
90,BaPtO3,0.088466737
268,BaPuO3,0
346,BaPuO3,0.022846295
93,BaReO3,0.145367808
7,BaRhO3,0.11198497
384,BaRhO3,0.019299603
21,BaRuO3,0.069403379
244,BaRuO3,0.007038676
245,BaRuO3,0.024799352
319,BaRuO3,0
89,BaScO3,0.021343565
344,BaSeO3,0
1,BaSiO3,0.562072219
173,BaSiO3,0.294890394
179,BaSiO3,0.409080591
347,BaSiO3,0.021893654
398,BaSiO3,0.03922157
399,BaSiO3,0
40,BaSnO3,6.61E-05
232,BaSnO3,0
383,BaSO3,0.045342256
360,BaTaO3,0.035316173
199,BaTbO3,0.086258974
225,BaTbO3,0.122577414
226,BaTbO3,0.091114882
283,BaTbO3,0.087461286
318,BaTbO3,0.086474722
289,BaTcO3,0
275,BaTeO3,0
292,BaTeO3,0.009422222
139,BaThO3,0
419,BaThO3,0.083402811
26,BaTiO3,0.984901028
197,BaTiO3,1.818567792
230,BaTiO3,0.014401893
266,BaTiO3,0
267,BaTiO3,3.040110448
298,BaTiO3,0.003141472
320,BaTiO3,0.000413478
323,BaTiO3,0.007962324
324,BaTiO3,0.002897176
329,BaTiO3,0.736772464
447,BaTiO3,1.815725136
95,BaTlO3,0.11029163
96,BaTmO3,0.064957585
78,BAuO3,1.343024685
243,BaUO3,0.001633865
19,BaVO3,0.163709865
189,BaVO3,0.076557276
97,BaWO3,0.159911833
101,BaYbO3,0.284912228
100,BaZnO3,0.165379579
22,BaZrO3,0.00170497
246,BaZrO3,0
105,BeAgO3,0.647608737
103,BeAuO3,0.837967338
99,BeBiO3,0.485295293
107,BeBO3,1.635242194
106,BeCdO3,0.511175272
108,BeCuO3,0.830594435
445,BeGaO3,1.086462142
104,BeGeO3,1.322303843
102,BeHgO3,0.596085434
110,BeInO3,0.709984532
109,BeOsO3,1.301025057
119,BePbO3,0.624200132
113,BePdO3,0.826630082
115,BePtO3,1.077603258
117,BeReO3,1.372131567
111,BeSbO3,0.818106983
112,BeSiO3,1.243715849
114,BeVO3,1.022221203
440,BeZnO3,0.757251041
231,BiBO3,0
37,BiCO3,0.080220336
118,BiMoO3,0.351720165
116,BiPtO3,0.540117889
316,BiRhO3,0.062083406
79,BIrO3,1.66927024
364,BiSbO3,0.086333552
441,BOsO3,1.776674408
442,BPbO3,1.075690903
80,BPdO3,1.216424054
81,BPtO3,1.507472977
228,BrNO3,0
77,BSbO3,1.0137365
352,BSbO3,0.04742729
366,BSbO3,0.045982902
76,BTeO3,1.249185354
444,CaBeO3,0.32625654
38,CaBiO3,0.099839731
369,CaBiO3,0
437,CaBiO3,0.020737578
492,CaBiO3,0.017300095
32,CaBO3,0.098792888
141,CaBO3,0.100574965
443,CaBO3,0.895756097
372,CaCeO3,0.059195942
30,CaCO3,0.016154185
143,CaCO3,0.008583975
145,CaCO3,0.024393411
146,CaCO3,0.009221115
234,CaCO3,0.16993807
248,CaCO3,0
261,CaCO3,0.024280725
282,CaCO3,0.312189717
287,CaCO3,0.013583979
293,CaCO3,0.002014621
305,CaCO3,0.008072823
311,CaCO3,0.0073591
327,CaCO3,1.368846586
343,CaCO3,2.017767952
34,CaCoO3,0.158022158
465,CaCoO3,0.496200092
495,CaCoO3,0.06680028
204,CaCrO3,0.058931721
33,CaCuO3,0.159935302
0,CaFeO3,0.051334095
187,CaFeO3,0
16,CaGeO3,0.170908428
178,CaGeO3,0
288,CaGeO3,0.014665881
397,CaGeO3,0.029972911
400,CaGeO3,0.020866917
421,CaGeO3,0.107711104
11,CaHfO3,0.154373438
362,CaHfO3,0
128,CaHgO3,0.460739416
123,CaHoO3,0.432500225
125,CaInO3,0.352152927
10,CaIrO3,0.313667752
29,CaIrO3,0.331566258
